guid,id,sort-index,frequency-rank,frequency,part-of-speech,word,word-romanization,definition,sentence,sentence-romanization,sentence-meaning,word-audio,sentence-audio,word-auido-source,sentence-auido-source,tags
tLU1FjtnOF,a0b0aa0a-e16e-49f6-8628-52bd6613913c,62,131,86 | 9619,Conjunction,ولی,vali,but,بله من ایرانیم <b>ولی</b> مادرم آلمانیه.,"Bale, man irâni-yam, vali mâdaram âlmâni-ye.","Yes, I’m Iranian, but my mother’s German.",[sound:a0b0aa0a-e16e-49f6-8628-52bd6613913c_word.mp3],[sound:a0b0aa0a-e16e-49f6-8628-52bd6613913c_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Conjunction
hB$D;xF^[?,d7e68264-a051-40bb-bbe6-c9fb4e7fcea5,63,770,86 | 1628,Noun,اهل,ahl,"native of;<br>inhabitant, citizen",<b>اهل</b> کجایی، رابِرت؟,"Ahl-e kojâ-yi, râbert?",Where are you from Robert?,[sound:d7e68264-a051-40bb-bbe6-c9fb4e7fcea5_word.mp3],[sound:d7e68264-a051-40bb-bbe6-c9fb4e7fcea5_sentence.mp3],Farsi School,PersianLanguageOnline,Persian5k::Noun
M=mW:Cp5Sm,6f21054d-715b-44fe-a8a6-3f2ad4339004,64,43,82 | 36695,Proper Noun,ایران,irân,Iran,کجای <b>ایران</b>؟,Kojâ-ye irân?,Where in Iran?,[sound:6f21054d-715b-44fe-a8a6-3f2ad4339004_word.mp3],[sound:6f21054d-715b-44fe-a8a6-3f2ad4339004_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Proper-Noun
P6dWE^aVzN,10560144-b732-42a5-8028-b2bb82d4b360,65,128,71 | 20988,Verb,رفتن,raftan,to go;<br>to leave;<br>to depart,اون داره کجا <b>میره</b>؟,Un dâre kojâ mire?,Where's she going?,[sound:10560144-b732-42a5-8028-b2bb82d4b360_word.mp3],[sound:10560144-b732-42a5-8028-b2bb82d4b360_sentence.mp3],PersianLanguageOnline,Glossika,Persian5k::Verb
Ljs;p$J*J=,b5dfad42-db60-4c14-bee3-11b771b3617a,66,,,Pronoun,آن‌ها <i>|</i> اون‌ها <i>|</i> اونا,ân-hâ | un-hâ | un-â,they,<b>اونها</b> فردا صبح ميرن.,Un-hâ fardâ sobh miran.,They're leaving tomorrow morning.,[sound:b5dfad42-db60-4c14-bee3-11b771b3617a_word.mp3],[sound:b5dfad42-db60-4c14-bee3-11b771b3617a_sentence.mp3],Helia,Glossika,Persian5k::Pronoun
QS`+!&he3g,b6341104-c640-4419-9800-cd45f3f80370,67,1062,77 | 2029,Proper Noun,لندن,landan,London,‫جان اهل <b>لندن</b> است.‬,Jân ahl-e landan ast.,John is from London.,[sound:b6341104-c640-4419-9800-cd45f3f80370_word.mp3],[sound:b6341104-c640-4419-9800-cd45f3f80370_sentence.mp3],PersianPod101,Farsi School,"Persian5k::Proper-Noun, Persian5k::Topic::Cities"
lYO#IbNi7r,e1f966b0-9d9e-4009-8983-49eb71701f51,68,419,86 | 3122,Noun,مدرسه,madrese,school,اون <b>مدرسه</b> ست.,Un madres-ast.,He's at school.,[sound:e1f966b0-9d9e-4009-8983-49eb71701f51_word.mp3],[sound:e1f966b0-9d9e-4009-8983-49eb71701f51_sentence.mp3],PersianPod101,Glossika,Persian5k::Noun
Ij}w;+=/qj,bae43a54-77f9-444d-b10a-9fa8e97d1d0d,70,7,89 | 301087,Preposition,در,dar,"at, in;<br>inside, within",‫ما <b>در</b> مدرسه هستیم.‬,Mâ dar madrese hastim.,We are at school.,[sound:bae43a54-77f9-444d-b10a-9fa8e97d1d0d_word.mp3],[sound:bae43a54-77f9-444d-b10a-9fa8e97d1d0d_sentence.mp3],PersianPod101,Goethe Verlag,Persian5k::Preposition
vG&]Dy6oi7,a47b9d7f-3903-42e4-baeb-d5e7f509133d,71,2009,86 | 430,Noun,قطار,ġatâr,train,<b>قطار</b> دیر کرده است.,Ġatâr dir karde ast.,The train's running late.,[sound:a47b9d7f-3903-42e4-baeb-d5e7f509133d_word.mp3],[sound:a47b9d7f-3903-42e4-baeb-d5e7f509133d_sentence.mp3],FarsiSchool,PersianPod101,Persian5k::Noun
"v3,$KUJ{El",79089587-b285-4ae2-a8df-d7775a5df908,72,1412,84 | 902,Proper Noun,شیراز,širâz,Shiraz,این قطار میره <b>شیراز</b>؟,In ġatâr mire shirâz?,Does this train go to Shiraz?,[sound:79089587-b285-4ae2-a8df-d7775a5df908_word.mp3],[sound:79089587-b285-4ae2-a8df-d7775a5df908_sentence.mp3],PersianPod101,Pimsleur,"Persian5k::Proper-Noun, Persian5k::Topic::Cities"
eE}YqVbz9o,883d953a-788e-4fd1-a05e-abbddab4903b,73,2478,87 | 286,"Adjective, Noun",شیرازی,širâzi,"Shirazi, from Shiraz",شیراز. من <b>شیرازی</b>م.,Širâz. Man širâzi-yam.,Shiraz. I’m from Shiraz.,[sound:883d953a-788e-4fd1-a05e-abbddab4903b_word.mp3],[sound:883d953a-788e-4fd1-a05e-abbddab4903b_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,"Persian5k::Adjective, Persian5k::Noun, Persian5k::Topic::Cities"
PG1f`?=`}1,1f13618d-e5e3-4ea4-aaab-3fa396b49739,74,36,80 | 46392,Adverb,هم,ham,"also, too",من <b>هم</b>.,Man ham.,Me too.,[sound:1f13618d-e5e3-4ea4-aaab-3fa396b49739_word.mp3],[sound:1f13618d-e5e3-4ea4-aaab-3fa396b49739_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Adverb
H-zrr3}Ej+,2be51f28-cd23-48bf-9d7a-5e5a4a61847c,75,110,74 | 20233,"Pronoun, Determiner, Adverb",چه,če,"what?;<br>what..., what a... (exclamatory)",<b>چه</b> خوب. پدر منم شیرازیه.,"Če xub, pedar-e-man-am širâzi-ye.",How nice! My father’s from Shiraz too.,[sound:2be51f28-cd23-48bf-9d7a-5e5a4a61847c_word.mp3],[sound:2be51f28-cd23-48bf-9d7a-5e5a4a61847c_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,"Persian5k::Adverb, Persian5k::Determiner, Persian5k::Pronoun"
Kj>#gnLwAD,ba37f7ad-4b73-4b19-9909-9fd6e4190459,76,358,76 | 6864,Noun,خانه <i>|</i> خونه,xâne | xune,house,اونها تو <b>خونه</b> هستن.,Unhâ tu xune hastan.,They're at home.,[sound:ba37f7ad-4b73-4b19-9909-9fd6e4190459_word.mp3],[sound:ba37f7ad-4b73-4b19-9909-9fd6e4190459_sentence.mp3],PersianPod101,Glossika,Persian5k::Noun
bz<|B5<;7#,06da47fb-2703-43bc-9c69-baf3082429e7,77,2643,70 | 651,Adverb,امشب,emšab,tonight;<br>this evening,<b>امشب</b> خونه ای؟,Emšab xune-i?,Will you be at home tonight?,[sound:06da47fb-2703-43bc-9c69-baf3082429e7_word.mp3],[sound:06da47fb-2703-43bc-9c69-baf3082429e7_sentence.mp3],PersianPod101,Glossika,Persian5k::Adverb
"l,iOa-FA_-",8e4e4121-0ecc-43fb-bf23-fd2694a1a4d9,78,,,Interjection,به‌به,bah bah,"lovely, wonderful;<br>    bravo, well done",<b>به! به!</b> چه خوب! مَریَم، امشب خونه هستین؟,"Bah! Bah! Če xub! Maryam, emšab xune hastin?","Wow! Great! Maryam, are you at home tonight?",[sound:8e4e4121-0ecc-43fb-bf23-fd2694a1a4d9_word.mp3],[sound:8e4e4121-0ecc-43fb-bf23-fd2694a1a4d9_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Interjection
x}Dq9.}d#c,1d914444-d14b-4f4f-9d14-024aa757b386,79,448,85 | 3244,Noun,منزل,manzel,"house;<br>dwelling, residence",بله من و سارا امشب <b>منزل</b> هستیم.,"Bale, man o sârâ emšab manzel hastim.","Yes, Sara and I are at home tonight.",[sound:1d914444-d14b-4f4f-9d14-024aa757b386_word.mp3],[sound:1d914444-d14b-4f4f-9d14-024aa757b386_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Noun
BDn<%Ftx$U,f05fb12d-87c1-413f-9ae7-fb29421a3706,80,1567,81 | 907,Proper Noun,پاریس,pâris,Paris,اهل کجایی؟ –  اهل <b>پاریس</b>م.,Ahl-e kojâ-yi? – Ahl-e pâris-am.,Where are you from? – I’m from Paris.,[sound:f05fb12d-87c1-413f-9ae7-fb29421a3706_word.mp3],[sound:f05fb12d-87c1-413f-9ae7-fb29421a3706_sentence.mp3],PersianPod101,PersianLanguageOnline,"Persian5k::Proper-Noun, Persian5k::Topic::Cities"
OGu#dEXYLv,8bb222a0-fcc1-46e3-894e-6f90e05d31c4,69,32,90 | 30277,Pronoun,ما,mâ,"we, us;",‫<b>ما</b> کجا هستیم؟‬,Mâ kojâ hastim?,Where are we?,[sound:8bb222a0-fcc1-46e3-894e-6f90e05d31c4_word.mp3],[sound:8bb222a0-fcc1-46e3-894e-6f90e05d31c4_sentence.mp3],PersianPod101,Goethe Verlag,Persian5k::Pronoun
Q$$|/nlwB^,e4853db7-4b99-4fd6-893d-819dd6a07ffa,81,389,82 | 4417,Proper Noun,فرانسه,farânse,"France;<br>
French language",پاریس کجاست؟ – در <b>فرانسه</b>. تو اهل کجایی، نِدا؟,Pâris kojâ-st? – Dar farânse. To ahl-e kojâ-yi nedâ?,Where is Paris? – In France. Where are you from Neda?,[sound:e4853db7-4b99-4fd6-893d-819dd6a07ffa_word.mp3],[sound:e4853db7-4b99-4fd6-893d-819dd6a07ffa_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,"Persian5k::Proper-Noun, Persian5k::Topic::Languages, Persian5k::Topic::Nationalities"
B7~=0n-*R>,9f7e2f14-1041-4b1f-8c1e-59f57a4ab3f3,82,611,78 | 3538,Proper Noun,انگلیس,englis,"England;<br>
United Kingdom",لندن کجاست؟ – در <b>انگلیس</b>.,Landan kojâst? – Dar engelis.,Where is London? – It’s in England.,[sound:9f7e2f14-1041-4b1f-8c1e-59f57a4ab3f3_word.mp3],[sound:9f7e2f14-1041-4b1f-8c1e-59f57a4ab3f3_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,"Persian5k::Proper-Noun, Persian5k::Topic::Nationalities"
pNzeINsEC3,57535450-b5b7-4d69-9248-d6182d259e69,83,1269,74 | 1782,Noun,معلم,mo'allem,teacher,سلام خانوم <b>معلم</b>. اسم من سامانه.,Salâm xânum mo’allem. Esm-e man sâmân-e.,Hello (Miss) teacher. My name’s Saman.,[sound:57535450-b5b7-4d69-9248-d6182d259e69_word.mp3],[sound:57535450-b5b7-4d69-9248-d6182d259e69_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,"Persian5k::Proper-Noun, Persian5k::Topic::Occupation"
gq!jJj]zqp,462a5768-272a-435b-96b7-742d6007b0d5,84,2296,65 | 984,Noun,شوهر,šohar,husband,منم بد نیستم. بابَک، این <b>شوهر</b>م آرَشه.,"Man-am bad nistam. Bâbak, in šohar-am âraš-e.","I am not bad either. Babak, this is my husband, Arash.",[sound:462a5768-272a-435b-96b7-742d6007b0d5_word.mp3],[sound:462a5768-272a-435b-96b7-742d6007b0d5_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Noun
"I],=E8T~[<",1c83a859-5e34-43f5-8dd1-e9ba4d2c6479,85,336,89 | 3070,"Noun, Adjective",استاد,ostâd,"professor;<br>
master;<br>
skilled, expert",سارا، بابَک <b>استاد</b>ه.,"Sârâ, bâbak ostâd-e.","Sara, Babak is a professor.",[sound:1c83a859-5e34-43f5-8dd1-e9ba4d2c6479_word.mp3.mp3],[sound:1c83a859-5e34-43f5-8dd1-e9ba4d2c6479_sentence.mp3],PersianPod101,PersianLanguageOnline,"Persian5k::Adjective, Persian5k::Noun, Persian5k::Topic::Occupation"
cDs`qM].t-,60e9127f-744c-45f4-ba33-ddf462d84efc,86,1782,58 | 1885,Verb,فهمیدن,fahmidan,to understand,<b>نمی‌فهمم</b>.,Nemi-fahman.,I don't understand.,[sound:60e9127f-744c-45f4-ba33-ddf462d84efc_word.mp3],[sound:60e9127f-744c-45f4-ba33-ddf462d84efc_sentence.mp3],PersianPod101,PersianPod101,Persian5k::Verb
DJp3Rx)O$Y,407206d2-d82e-4e14-a4ce-74971cf301f7,87,981,78 | 2062,Noun,فارسی,fârsi,Persian,تو <b>فارسی</b> می‌فهمی.,To fârsi mi-fahmi.,You understand Persian.,[sound:407206d2-d82e-4e14-a4ce-74971cf301f7_word.mp3],[sound:407206d2-d82e-4e14-a4ce-74971cf301f7_sentence.mp3],PersianPod101,Chai &amp; Conversation,Persian5k::Noun
D<4;9L!QNY,bb2be288-3c28-471f-bcf8-6b010dbe64ed,88,383,81 | 4946,Noun,زبان <i>|</i> زبون,zabân | zabun,tongue (body part);<br>language,استاد چی؟ – استاد <b>زبان</b> فارسی.,Ostâd-e chi? – Ostâd-e zabân-e fârsi.,A professor of what? – A Persian language professor.,[sound:bb2be288-3c28-471f-bcf8-6b010dbe64ed_word.mp3],[sound:bb2be288-3c28-471f-bcf8-6b010dbe64ed_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Noun
sR@x!v/c5.,230e6f04-b65a-4360-8453-9287736f9d7e,89,27,94 | 18832,Noun,کار,kâr,"work;<br>occupation, job;<br>activity",<b>کار</b> دارم.,Kâr dâram.,I have work.,[sound:230e6f04-b65a-4360-8453-9287736f9d7e_word.mp3],[sound:230e6f04-b65a-4360-8453-9287736f9d7e_sentence.mp3],PersianLanguageOnline,Pimsleur,Persian5k::Noun
s:G=(K5.*D,b577ee91-040a-4d5d-83b4-3d89a3f93582,90,841,81 | 2127,Verb,کار کردن,kâr kardan,to work;<br>to function,چه خوب. کجا <b>کار می کنی</b>؟,Če xub. Kojâ kâr mi-koni?,Cool. Where do you work?,[sound:b577ee91-040a-4d5d-83b4-3d89a3f93582_word.mp3],[sound:b577ee91-040a-4d5d-83b4-3d89a3f93582_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Verb
"iE^-O~F,aj",fd9b5e94-ae50-4924-884b-4d173dcdb257,91,2430,75 | 595,Noun,خواهر,xâhar,sister,<b>خواهر</b>ت کجا کار می‌کنه؟,Xâhar-et kojâ kâr mi-kone?,Where does your sister work?,[sound:fd9b5e94-ae50-4924-884b-4d173dcdb257.mp3],[sound:fd9b5e94-ae50-4924-884b-4d173dcdb257_sentence.mp3],PersianLanguageOnline,Glossika,Persian5k::Noun
q_>S#/m-CT,3d65b72d-1747-4deb-9fea-489687e51faf,92,417,81 | 4558,Noun,شب,šab,night;<br>evening,<b>شب</b> کار می‌کنی؟,Šab kâr mi-koni?,Do you work at night?,[sound:3d65b72d-1747-4deb-9fea-489687e51faf_word.mp3],[sound:3d65b72d-1747-4deb-9fea-489687e51faf_sentence.mp3],PersianPod101,Glossika,Persian5k::Noun
uPPZ^wTDN{,b7cca25d-f7a4-4fb5-aa34-862a7cfb7638,93,19,95 | 24037,Verb,بایستن,bâyestan,"to be necessary;<br>must, ought",اون <b>باید</b> کار کنه.,Un bâyad kɑr kone.,He has to work.,[sound:b7cca25d-f7a4-4fb5-aa34-862a7cfb7638_word.mp3],[sound:b7cca25d-f7a4-4fb5-aa34-862a7cfb7638_sentence.mp3],Farsi School,Glossika,Persian5k::Verb
"b,lX@kko0s",a5e7616a-b842-4836-b734-e08b54b0c813,94,200,87 | 6092,Noun,کتاب,ketâb,book,اون داره <b>کتاب</b> میخونه.,Un dâre ketâb mi-xune.,She's reading a book.,[sound:a5e7616a-b842-4836-b734-e08b54b0c813_word.mp3],[sound:a5e7616a-b842-4836-b734-e08b54b0c813_sentence.mp3],Farsi School,Glossika,Persian5k::Noun
"Fy,].YKRrN",32e34a22-40e1-4132-961f-5a0417e7050b,95,962,88 | 1125,Adjective,جالب,jâleb,interesting;<br>attractive,خیلی <b>جالب</b>ه.,Xeyli jâleb-e.,It's very interesting.,[sound:32e34a22-40e1-4132-961f-5a0417e7050b_word.mp3],[sound:32e34a22-40e1-4132-961f-5a0417e7050b_sentence.mp3],PersianLanguageOnline,Glossika,Persian5k::Adjective
cWM4#t*nv-,2c4ad191-0a55-48fb-9c31-ae91e5339a7d,96,1413,41 | 4452,Adverb,آره,âre,yeah;<br>yes,دیر کردم؟ — <b>آره</b>، دیر کردی.,"Dir kardam? — Âre, dir kardi.","Am I late? — Yes, you are late.",[sound:2c4ad191-0a55-48fb-9c31-ae91e5339a7d_word.mp3],[sound:2c4ad191-0a55-48fb-9c31-ae91e5339a7d_sentence.mp3],PersianLanguageOnline,Glossika,Persian5k::Adverb
GC+F=O2X(N,40b4e0a0-0874-4ee7-a66a-648a94129816,97,571,90 | 1656,"Adjective, Adverb",سخت,saxt,"hard, difficult (of a task);<br>
hard, solid (of a material);<br>
exceedingly, extremely, very",ما خیلی <b>سخت</b> کار نمیکنیم.,Mâ xeyli saxt kâr nemi-konim.,We don't work very hard.,[sound:40b4e0a0-0874-4ee7-a66a-648a94129816_word.mp3],[sound:40b4e0a0-0874-4ee7-a66a-648a94129816_sentence.mp3],PersianLanguageOnline,Glossika,"Persian5k::Adjective, Persian5k::Adverb"
wprkBQ$x;s,f1c004bb-bea0-4114-928a-0791767b983f,98,859,69 | 3559,Noun,دختر,doxtar,daughter;<br>girl,تو <b>دختر</b> من هستی.,To doxtar-e man hasti.,You are my daughter.,[sound:f1c004bb-bea0-4114-928a-0791767b983f_word.mp3],[sound:f1c004bb-bea0-4114-928a-0791767b983f_sentence.mp3],PersianLanguageOnline,Pimsleur,Persian5k::Noun
N0!-jngLFq,4ae2cade-b649-43cd-abc1-80bf1e029758,99,,,Noun,دوست‌دختر,dust-doxtar,girlfriend,<b>دوست دختر</b> دارم.,Dust-doxtar dâram.,I have a girlfriend.,[sound:4ae2cade-b649-43cd-abc1-80bf1e029758_word.mp3],[sound:4ae2cade-b649-43cd-abc1-80bf1e029758_sentence.mp3],PersianPod101,Pimsleur,Persian5k::Noun
Mj;C3!n::f,340b945e-6730-432f-8aff-3db898448ef5,100,1767,84 | 601,Noun,شغل,šoġl,"job, work, employment, occupation",دوست دخترت <b>شغل</b>ش چیه؟,Dust-doxtar-et šoġleš čie?,What does your girlfriend do?,[sound:340b945e-6730-432f-8aff-3db898448ef5_word.mp3],[sound:340b945e-6730-432f-8aff-3db898448ef5_sentence.mp3],PersianLanguageOnline,Glossika,Persian5k::Noun
v>$CtPu!2=,5f0cd79f-264a-4ff6-ba79-ee5f09661cef,101,3,97 | 258065,Preposition,از,az,"of, from;<br>since;<br>than <i>(in comparisons)</i>",<b>از</b> اینجا هستی؟,Az innjâ hasti?,Are you from here?,[sound:5f0cd79f-264a-4ff6-ba79-ee5f09661cef_word.mp3],[sound:5f0cd79f-264a-4ff6-ba79-ee5f09661cef_sentence.mp3],PersianLanguageOnline,Chai &amp; Conversation,Persian5k::Preposition
L<~MYxplt?,d7a38049-47ab-4467-b836-f9b78470d50b,102,140,78 | 14116,Proper Noun,تهران,tehrân,Tehran,من از <b>تهران</b> هستم.,Man az tehrân hastam.,I am from Tehran.,[sound:d7a38049-47ab-4467-b836-f9b78470d50b_word.mp3],[sound:d7a38049-47ab-4467-b836-f9b78470d50b_sentence.mp3],PersianPod101,Chai &amp; Conversation,Persian5k::Proper-Noun
v#7wRMtpo_,6f1904e7-026a-4c33-b82a-c360bb1f5c0a,103,312,82 | 5665,Noun,دانشگاه,dânešgâh,university,تو <b>دانشگاه</b> تهران. سارا، شغل شما چیه؟,"Tu dânešgâh-e tehrân. sârâ, šoġl-e šomâ či-ye?","In the University of Tehran. What do you do, Sara?",[sound:6f1904e7-026a-4c33-b82a-c360bb1f5c0a_word.mp3],[sound:6f1904e7-026a-4c33-b82a-c360bb1f5c0a_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Noun
w*5MT[|c*0,f72d4b32-c20d-4faa-acb0-d48ad6fe5559,104,1095,85 | 1210,Noun,بیمارستان,bimârestân,hospital,من تو <b>بیمارستان</b> کار می کنم.,Man tu bimârestân kâr mi-konam.,I work in a hospital.,[sound:f72d4b32-c20d-4faa-acb0-d48ad6fe5559_word.mp3],[sound:f72d4b32-c20d-4faa-acb0-d48ad6fe5559_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Noun
jXbP0j2!%K,2d419e71-5d19-4933-aec3-c20c1144f8d0,105,375,80 | 5121,Noun,دکتر,doktor,"doctor, physician;<br>Doctor <i>(title)</i>",من <b>دکتر</b> نيستم.,Man doktor nistam.,I am not a doctor.,[sound:2d419e71-5d19-4933-aec3-c20c1144f8d0_word.mp3],[sound:2d419e71-5d19-4933-aec3-c20c1144f8d0_sentence.mp3],PersianPod101,Defense Language Insitute,Persian5k::Noun
HxX]I)L/Yf,579eecb1-81c8-41f6-af1c-55b51c646ca4,106,570,73 | 5017,"Preposition, Noun",مثل,mesl,"like, similar;<br>    resemblance, similarity",شما <b>مثل</b> مَریَم دکتر هستین؟,Shomâ mesl-e maryam doktor hastin?,Are you a doctor like Maryam?,[sound:579eecb1-81c8-41f6-af1c-55b51c646ca4_word.mp3],[sound:579eecb1-81c8-41f6-af1c-55b51c646ca4_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,"Persian5k::Noun, Persian5k::Preposition"
OwhUB$^ug$,ad0d7dbd-19d7-4b5b-8f04-833e8dac4ab6,107,4233,65 | 317,Noun,پرستار,parastâr,nurse,نه من دکتر نیستم. من <b>پرستار</b>م.,"Na, man doktor nistam. Man parastâr-am.","No, I’m not a doctor. I’m a nurse.",[sound:ad0d7dbd-19d7-4b5b-8f04-833e8dac4ab6_word.mp3],[sound:ad0d7dbd-19d7-4b5b-8f04-833e8dac4ab6_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Noun
Al=nn~Z2!&,5a7ffb48-f585-40fa-8fde-508929114e87,108,682,84 | 2137,Pronoun,کدام <i>|</i> کدوم,kodâm | kodum,which,تو <b>کدوم</b> بیمارستان کار می کنی؟ — بیمارستان دِی.,Tu kodum bimârestân kâr mi-koni? — Bimârestân-e dey.,Which hospital do you work in? — Dey hospital.,[sound:5a7ffb48-f585-40fa-8fde-508929114e87_word.mp3],[sound:5a7ffb48-f585-40fa-8fde-508929114e87_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Pronoun
eX!obo7s#i,07bc68ff-f36a-42e6-b05b-84330f3aeb2b,109,598,82 | 2816,Noun,پلیس,polis,"police;<br>policeman, policewoman",شغل پدرت چیه؟ — اون <b>پلیس</b>ه.,Šoġl-e pedar-et či-ye? — Un polis-e.,What’s your father’s job? — He’s a policeman.,[sound:07bc68ff-f36a-42e6-b05b-84330f3aeb2b_word.mp3],[sound:07bc68ff-f36a-42e6-b05b-84330f3aeb2b_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,"Persian5k::Noun, Persian5k::Topic::Occupation"
"gET,:LxLf`",cbb9a650-fa9c-4bc3-bfad-2215632f2381,110,594,82 | 2980,Proper Noun,آلمان,âlmân,Germany,تو ایران کار می کنه؟ — نه تو <b>آلمان</b> کار می کنه.,"Tu irân kâr mi-kone? — Na, tu âlmân kâr mi-kone.","Does he work in Iran? — No, he works in Germany.",[sound:cbb9a650-fa9c-4bc3-bfad-2215632f2381_word.mp3],[sound:cbb9a650-fa9c-4bc3-bfad-2215632f2381_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,"Persian5k::Proper-NouN, Persian5k::Topic::Nationalities"
HFZgzan}e.,8181078f-a1e3-47c3-82d7-eb27a0abb342,111,2982,62 | 699,Noun,دانش‌آموز,dâneš-âmuz,"pupil;<br>student, a schoolchild, a person who attends school",شغلت چیه؟ — من <b>دانش آموز</b>م.,Šoġl-et či-ye? — Man dânešâmuz-am.,What’s your job? — I’m a (school) student.,[sound:8181078f-a1e3-47c3-82d7-eb27a0abb342_word.mp3],[sound:8181078f-a1e3-47c3-82d7-eb27a0abb342_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Noun
q:Q7Ywu70q,9f3ba0f8-d075-4a98-a8ce-bc2c6914bc21,112,521,86 | 2652,Noun,دانشجو,dânešju,university student;<br>higher education student,کدوم مدرسه؟ — مدرسۀ اَدَب. کار شما چیه؟ — من <b>دانشجو</b> هستم.,Kodum madrese? — Madrese-ye adab. Kâr-e šomâ či-ye? — Man dânešju hastam.,Which school? — Adab school. What do you do? — I’m a (university) student.,[sound:9f3ba0f8-d075-4a98-a8ce-bc2c6914bc21_word.mp3],[sound:9f3ba0f8-d075-4a98-a8ce-bc2c6914bc21_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Noun
daW!}&x/Yf,7e803c96-a721-4d0b-b0e8-a9dfc119753e,113,373,90 | 2420,Noun,رشته,rešte,"field of study, subject",من دانشجو هستم. — چه <b>رشته</b> ای؟,Man dânešju hastam. — Če rešte-i?,I’m a (university) student. — What subject?,[sound:7e803c96-a721-4d0b-b0e8-a9dfc119753e_word.mp3],[sound:7e803c96-a721-4d0b-b0e8-a9dfc119753e_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Noun
D4F&jUdfkr,eb307250-c1ec-4852-9ada-006993e84466,114,1776,76 | 945,Noun,معماری,me'mâri,architecture,چه رشته ای؟ — رشته <b>معماری</b>.,Če rešte-i? — rešte-ye me'mâri.,What subject? — (The subject of) architecture.,[sound:eb307250-c1ec-4852-9ada-006993e84466_word.mp3],[sound:eb307250-c1ec-4852-9ada-006993e84466_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Noun
C$vDL_+~v_,151efcea-3692-4960-9ae0-7ef58f6bab44,115,30,93 | 20471,Noun,روز,ruz,day,<b>روز</b> خوبی نداشته.,Ruz-e xub-i nadâšt-e.,He hasn’t had a good day.,[sound:151efcea-3692-4960-9ae0-7ef58f6bab44_word.mp3],[sound:151efcea-3692-4960-9ae0-7ef58f6bab44_sentence.mp3],PersianLanguageOnline,Pimsleur,Persian5k::Noun
DhZpy=I7nr,0a944ed5-cd92-48f8-9f47-01e33f2d8a90,116,1010,84 | 1370,Noun,کلاس,kelâs,class,چه روزی <b>کلاس</b> فارسی داریم؟,Če ruz-i kelâs-e fârsi dârim?,What day do we have Persian class?,[sound:0a944ed5-cd92-48f8-9f47-01e33f2d8a90_word.mp3],[sound:0a944ed5-cd92-48f8-9f47-01e33f2d8a90_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Noun
MBcoJiP@jE,669f1af6-ddc6-4aaf-9b2c-1ea8e874cdba,117,,,Noun,همکلاس,ham-kelâs,classmate,شما دوست داریوش هستین؟ — بله من <b>همکلاس</b> داریوشم.,"Šomâ dust-e dâryuš hastin? — Bale, man ham-kelâs-e-dâryuš-am.","Are you Dariush’s friend? — Yes, I’m Dariush’s classmate.",[sound:669f1af6-ddc6-4aaf-9b2c-1ea8e874cdba_word.mp3],[sound:669f1af6-ddc6-4aaf-9b2c-1ea8e874cdba_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Noun
u`54w0_}gK,9f86c11e-1778-4359-8e58-187d3e99053c,118,,,Noun,فامیلی,fâmili,"surname, family name",<b>فامیلی</b> شما چیه؟ — <b>فامیلی</b> من اَخَوانه.,Fâmili-ye šomâ či-ye? — Fâmili-ye man axavân-e.,What’s your surname? — My surname’s Akhavan.,[sound:9f86c11e-1778-4359-8e58-187d3e99053c_word.mp3],[sound:9f86c11e-1778-4359-8e58-187d3e99053c_sentence.mp3],Farsi School,PersianLanguageOnline,Persian5k::Noun
